latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
37.45538,-121.92999,307.9,0.54,0.42,6/5/20,936,1,VIIRS,n,2.0NRT,288.8,0.9,N
37.45436,-121.92893,295.2,0.63,0.54,6/7/20,1036,1,VIIRS,n,2.0NRT,283.5,0.6,N
37.45388,-121.92941,302.5,0.54,0.42,6/8/20,1018,1,VIIRS,n,2.0NRT,281.5,0.6,N
37.18516,-121.67869,296.2,0.56,0.43,6/8/20,1018,1,VIIRS,n,2.0NRT,281.8,0.5,N
37.45528,-121.93108,307.6,0.39,0.36,6/9/20,1000,1,VIIRS,n,2.0NRT,284.1,0.6,N
37.21432,-121.89986,295.4,0.39,0.36,6/9/20,1000,1,VIIRS,n,2.0NRT,283.4,0.3,N
37.1843,-121.67739,306.6,0.39,0.36,6/9/20,1000,1,VIIRS,n,2.0NRT,283.8,0.6,N
37.18596,-121.68016,303.6,0.45,0.39,6/10/20,942,1,VIIRS,n,2.0NRT,286.4,0.5,N
37.45466,-121.92941,306.3,0.46,0.39,6/10/20,942,1,VIIRS,n,2.0NRT,287.9,1.2,N
37.21308,-121.89951,296.9,0.46,0.39,6/10/20,942,1,VIIRS,n,2.0NRT,286.8,0.1,N
37.45637,-121.93225,300.5,0.52,0.5,6/11/20,924,1,VIIRS,n,2.0NRT,286.8,0.8,N
37.45745,-121.93251,302.1,0.52,0.5,6/11/20,924,1,VIIRS,n,2.0NRT,286.6,0.4,N
37.1857,-121.67788,302.8,0.4,0.37,6/15/20,948,1,VIIRS,n,2.0NRT,285.7,0.8,N
37.45512,-121.93163,314.3,0.41,0.37,6/15/20,948,1,VIIRS,n,2.0NRT,285.7,0.9,N
37.2132,-121.90189,296,0.41,0.37,6/15/20,948,1,VIIRS,n,2.0NRT,285.6,0.5,N
37.18547,-121.67908,296.9,0.42,0.45,6/16/20,930,1,VIIRS,n,2.0NRT,284.3,0.5,N
37.45486,-121.93352,302.4,0.39,0.6,6/17/20,912,1,VIIRS,n,2.0NRT,284.1,0.7,N
