datetime,date,time,Severity,temperature_2m,relative_humidity_2m,precipitation,surface_pressure,cloud_cover,wind_speed_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,forest_fire
1/11/20 12:00,1/11/20,12:00:00,0,5.710999966,91.67036438,0.200000003,936.706665,93,6.379216194,5.210999966,6.410999775,0.354999989,0.351999998,N
1/11/20 15:00,1/11/20,15:00:00,0,4.761000156,100,0,936.6039429,90,9.47012043,5.31099987,6.361000061,0.354000002,0.351999998,N
1/11/20 18:00,1/11/20,18:00:00,0,6.611000061,81.45046997,0,938.3468018,91.80000305,14.18235493,6.56099987,6.410999775,0.354000002,0.351999998,N
1/11/20 21:00,1/11/20,21:00:00,0,8.211000443,68.76513672,0,936.8082275,46.79999924,13.85415459,8.661000252,6.81099987,0.351999998,0.351999998,N
1/12/20 0:00,1/12/20,0:00:00,0,7.511000156,70.85202026,0,936.0533447,88.19999695,9,9.061000824,7.31099987,0.351999998,0.351999998,N
1/12/20 3:00,1/12/20,3:00:00,0,3.911000013,99.29976654,0,935.0681152,6.900000095,6.287129879,6.660999775,7.511000156,0.351000011,0.351000011,N
1/12/20 6:00,1/12/20,6:00:00,0,2.960999966,89.54665375,0,934.1403809,4.200000286,7.78799057,5.011000156,7.261000156,0.351000011,0.351000011,N
1/12/20 9:00,1/12/20,9:00:00,0,2.460999966,94.11795044,0,934.3532104,29.40000153,7.92817688,4.210999966,6.81099987,0.351000011,0.351000011,N
1/12/20 12:00,1/12/20,12:00:00,0,1.411000013,94.06876373,0,933.7572021,1.799999952,3.075841427,3.31099987,6.710999966,0.351000011,0.351000011,N
1/12/20 15:00,1/12/20,15:00:00,0,2.06099987,83.82324219,0,934.7786865,19.79999924,3.671293974,2.861000061,6.160999775,0.349999994,0.351000011,N
1/12/20 18:00,1/12/20,18:00:00,0,5.861000061,68.76773834,0,936.0201416,34.20000076,9.107358932,4.960999966,5.81099987,0.349999994,0.351000011,N
